HD6268 (Flux) (Lin          npts=38100
      2.288817E+03        6.230366E-02
      2.288836E+03        6.228278E-02
      2.288855E+03        6.226213E-02
      2.288874E+03        6.222275E-02
      2.288892E+03        6.216055E-02
      2.288911E+03        6.208728E-02
      2.28893E+03        6.203294E-02
      2.288948E+03        6.200846E-02
      2.288967E+03        6.198835E-02
      2.288986E+03        6.195644E-02
      2.289005E+03         6.19255E-02
      2.289023E+03         6.18915E-02
      2.289042E+03        6.186473E-02
      2.289061E+03        6.186059E-02
      2.289079E+03        6.185672E-02
      2.289098E+03        6.185263E-02
      2.289117E+03        6.184395E-02
      2.289136E+03         6.18042E-02
      2.289154E+03         6.17453E-02
      2.289173E+03        6.168944E-02
      2.289192E+03        6.163647E-02
      2.28921E+03        6.157596E-02
      2.289229E+03        6.151292E-02
      2.289248E+03        6.143683E-02
      2.289267E+03        6.134549E-02
      2.289285E+03        6.127513E-02
      2.289304E+03        6.122225E-02
      2.289323E+03        6.115953E-02
      2.289341E+03         6.11031E-02
      2.28936E+03        6.106417E-02
      2.289379E+03        6.103224E-02
      2.289398E+03        6.102212E-02
      2.289416E+03        6.103676E-02
      2.289435E+03        6.103837E-02
      2.289454E+03        6.100192E-02
      2.289472E+03        6.094329E-02
      2.289491E+03        6.089816E-02
      2.28951E+03        6.088247E-02
      2.289529E+03        6.087502E-02
      2.289547E+03        6.084671E-02
      2.289566E+03        6.078693E-02
      2.289585E+03        6.073147E-02
      2.289603E+03        6.070343E-02
      2.289622E+03        6.067161E-02
      2.289641E+03        6.062653E-02
      2.28966E+03        6.061279E-02
      2.289678E+03        6.065691E-02
      2.289697E+03        6.070834E-02
      2.289716E+03        6.071357E-02
      2.289734E+03        6.069467E-02
      2.289753E+03        6.067924E-02
      2.289772E+03        6.065177E-02
      2.289791E+03        6.060223E-02
      2.289809E+03        6.054654E-02
      2.289828E+03        6.050848E-02
      2.289847E+03        6.047872E-02
      2.289865E+03        6.045021E-02
      2.289884E+03        6.045861E-02
      2.289903E+03        6.049698E-02
      2.289922E+03        6.052131E-02
      2.28994E+03         6.05348E-02
      2.289959E+03         6.05602E-02
      2.289978E+03        6.058431E-02
      2.289996E+03        6.059654E-02
      2.290015E+03        6.061982E-02
      2.290034E+03        6.064361E-02
      2.290053E+03        6.065956E-02
      2.290071E+03        6.066531E-02
      2.29009E+03        6.064201E-02
      2.290109E+03        6.062288E-02
      2.290127E+03        6.062391E-02
      2.290146E+03        6.060409E-02
      2.290165E+03        6.056377E-02
      2.290184E+03        6.054112E-02
      2.290202E+03        6.052572E-02
      2.290221E+03        6.052277E-02
      2.29024E+03        6.055308E-02
      2.290258E+03        6.055481E-02
      2.290277E+03        6.052649E-02
      2.290296E+03        6.052877E-02
      2.290315E+03        6.055632E-02
      2.290333E+03        6.059032E-02
      2.290352E+03         6.06167E-02
      2.290371E+03        6.062232E-02
      2.290389E+03        6.064784E-02
      2.290408E+03        6.071374E-02
      2.290427E+03        6.074792E-02
      2.290446E+03        6.074029E-02
      2.290464E+03        6.073765E-02
      2.290483E+03        6.073323E-02
      2.290502E+03        6.073331E-02
      2.29052E+03        6.075807E-02
      2.290539E+03        6.077935E-02
      2.290558E+03        6.077291E-02
      2.290577E+03        6.075125E-02
      2.290595E+03        6.073057E-02
      2.290614E+03        6.069398E-02
      2.290633E+03        6.063071E-02
      2.290651E+03        6.057048E-02
      2.29067E+03        6.051279E-02
      2.290689E+03         6.04386E-02
      2.290707E+03        6.039108E-02
      2.290726E+03        6.040427E-02
      2.290745E+03        6.042462E-02
      2.290764E+03        6.041274E-02
      2.290782E+03        6.039094E-02
      2.290801E+03        6.038591E-02
      2.29082E+03        6.040749E-02
      2.290838E+03        6.044761E-02
      2.290857E+03        6.050811E-02
      2.290876E+03        6.060509E-02
      2.290895E+03        6.072247E-02
      2.290913E+03        6.082479E-02
      2.290932E+03        6.089526E-02
      2.290951E+03         6.09403E-02
      2.290969E+03        6.097319E-02
      2.290988E+03         6.10056E-02
      2.291007E+03        6.105167E-02
      2.291026E+03        6.111865E-02
      2.291044E+03        6.118998E-02
      2.291063E+03        6.125102E-02
      2.291082E+03        6.131534E-02
      2.2911E+03        6.139244E-02
      2.291119E+03        6.145426E-02
      2.291138E+03        6.148122E-02
      2.291156E+03        6.150314E-02
      2.291175E+03        6.152099E-02
      2.291194E+03        6.152127E-02
      2.291213E+03        6.154208E-02
      2.291231E+03        6.157903E-02
      2.29125E+03        6.159499E-02
      2.291269E+03        6.160671E-02
      2.291287E+03        6.160859E-02
      2.291306E+03        6.158248E-02
      2.291325E+03        6.156741E-02
      2.291344E+03        6.158137E-02
      2.291362E+03        6.159531E-02
      2.291381E+03         6.16068E-02
      2.2914E+03        6.162263E-02
      2.291418E+03        6.162765E-02
      2.291437E+03        6.163438E-02
      2.291456E+03        6.166567E-02
      2.291474E+03        6.170113E-02
      2.291493E+03         6.17283E-02
      2.291512E+03         6.17494E-02
      2.291531E+03        6.174421E-02
      2.291549E+03        6.173332E-02
      2.291568E+03        6.173928E-02
      2.291587E+03        6.173056E-02
      2.291605E+03        6.170439E-02
      2.291624E+03        6.169933E-02
      2.291643E+03        6.171045E-02
      2.291662E+03        6.170279E-02
      2.29168E+03        6.168285E-02
      2.291699E+03        6.168009E-02
      2.291718E+03        6.168992E-02
      2.291736E+03        6.170049E-02
      2.291755E+03        6.171043E-02
      2.291774E+03        6.171296E-02
      2.291792E+03        6.172109E-02
      2.291811E+03        6.175328E-02
      2.29183E+03        6.180118E-02
      2.291849E+03        6.183504E-02
      2.291867E+03        6.184053E-02
      2.291886E+03        6.182862E-02
      2.291905E+03        6.182278E-02
      2.291923E+03        6.182721E-02
      2.291942E+03        6.183099E-02
      2.291961E+03        6.182568E-02
      2.29198E+03         6.17752E-02
      2.291998E+03        6.167811E-02
      2.292017E+03        6.157722E-02
      2.292036E+03        6.147527E-02
      2.292054E+03        6.138136E-02
      2.292073E+03        6.131094E-02
      2.292092E+03        6.125294E-02
      2.29211E+03         6.12143E-02
      2.292129E+03        6.121643E-02
      2.292148E+03        6.123464E-02
      2.292167E+03        6.123244E-02
      2.292185E+03        6.122056E-02
      2.292204E+03        6.120491E-02
      2.292223E+03        6.117243E-02
      2.292241E+03        6.111934E-02
      2.29226E+03        6.107647E-02
      2.292279E+03        6.105446E-02
      2.292297E+03        6.102979E-02
      2.292316E+03        6.101288E-02
      2.292335E+03        6.101301E-02
      2.292354E+03        6.102121E-02
      2.292372E+03         6.10407E-02
      2.292391E+03        6.105674E-02
      2.29241E+03        6.106034E-02
      2.292428E+03        6.106932E-02
      2.292447E+03        6.106008E-02
      2.292466E+03        6.101697E-02
      2.292484E+03        6.098025E-02
      2.292503E+03         6.09644E-02
      2.292522E+03        6.094593E-02
      2.292541E+03        6.091542E-02
      2.292559E+03        6.088246E-02
      2.292578E+03        6.084018E-02
      2.292597E+03         6.07722E-02
      2.292615E+03        6.070328E-02
      2.292634E+03        6.065893E-02
      2.292653E+03        6.062888E-02
      2.292671E+03        6.060605E-02
      2.29269E+03        6.058707E-02
      2.292709E+03        6.055387E-02
      2.292728E+03        6.052103E-02
      2.292746E+03        6.052322E-02
      2.292765E+03        6.055363E-02
      2.292784E+03        6.058033E-02
      2.292802E+03        6.057724E-02
      2.292821E+03        6.055643E-02
      2.29284E+03        6.055485E-02
      2.292858E+03        6.058478E-02
      2.292877E+03        6.062901E-02
      2.292896E+03        6.066474E-02
      2.292915E+03        6.069201E-02
      2.292933E+03        6.074462E-02
      2.292952E+03        6.082616E-02
      2.292971E+03        6.089717E-02
      2.292989E+03        6.092884E-02
      2.293008E+03        6.092081E-02
      2.293027E+03        6.088506E-02
      2.293045E+03           6.084E-02
      2.293064E+03          6.0823E-02
      2.293083E+03        6.085322E-02
      2.293102E+03        6.089122E-02
      2.29312E+03        6.090676E-02
      2.293139E+03        6.091757E-02
      2.293158E+03        6.092222E-02
      2.293176E+03        6.093092E-02
      2.293195E+03         6.09636E-02
      2.293214E+03        6.099417E-02
      2.293232E+03        6.100867E-02
      2.293251E+03        6.102466E-02
      2.29327E+03        6.103678E-02
