#Raw data of wavelength and flux data for the star: HD6268
        Wavelength          Flux 
      2.284322E+03        4.567092E-15
      2.284341E+03        5.839231E-15
      2.28436E+03        1.011695E-14
      2.284379E+03        1.307039E-14
      2.284397E+03        1.053768E-14
      2.284416E+03         9.09911E-15
      2.284435E+03        8.519436E-15
      2.284454E+03        7.026428E-15
      2.284472E+03        5.602469E-15
      2.284491E+03        4.326566E-15
      2.28451E+03        4.801618E-15
      2.284529E+03        5.333761E-15
      2.284547E+03        5.213586E-15
      2.284566E+03         5.34075E-15
      2.284585E+03        3.096439E-15
      2.284604E+03        1.283289E-15
      2.284622E+03        2.341471E-15
      2.284641E+03        3.339431E-15
      2.28466E+03        5.910231E-15
      2.284679E+03         7.57106E-15
      2.284697E+03        4.827126E-15
      2.284716E+03        2.171585E-15
      2.284735E+03        1.367509E-15
      2.284753E+03        1.068403E-15
      2.284772E+03        3.087711E-15
      2.284791E+03        6.381404E-15
      2.28481E+03        9.436345E-15
      2.284828E+03        1.102945E-14
      2.284847E+03        1.113096E-14
      2.284866E+03        1.126262E-14
      2.284885E+03         8.88812E-15
      2.284903E+03        5.696057E-15
      2.284922E+03         4.90607E-15
      2.284941E+03        5.108743E-15
      2.28496E+03        5.177485E-15
      2.284978E+03        5.028215E-15
      2.284997E+03        5.340587E-15
      2.285016E+03        6.521038E-15
      2.285035E+03        7.082827E-15
      2.285053E+03        5.600522E-15
      2.285072E+03        2.071605E-15
      2.285091E+03        7.384596E-16
      2.28511E+03        4.806818E-15
      2.285128E+03        8.241736E-15
      2.285147E+03        8.862828E-15
      2.285166E+03        9.666757E-15
      2.285185E+03        1.152159E-14
      2.285203E+03        1.181376E-14
      2.285222E+03        9.084624E-15
      2.285241E+03        8.442396E-15
      2.285259E+03        1.080561E-14
      2.285278E+03        1.234819E-14
      2.285297E+03        1.128094E-14
      2.285316E+03        1.036558E-14
      2.285334E+03        1.125829E-14
      2.285353E+03        1.220865E-14
      2.285372E+03        1.459252E-14
      2.285391E+03        1.575646E-14
      2.285409E+03        1.201495E-14
      2.285428E+03        8.891615E-15
      2.285447E+03        8.934958E-15
      2.285466E+03        9.966889E-15
      2.285484E+03        1.364694E-14
      2.285503E+03         1.57012E-14
      2.285522E+03        1.425898E-14
      2.285541E+03        1.383376E-14
      2.285559E+03        1.332569E-14
      2.285578E+03        1.446948E-14
      2.285597E+03        1.961537E-14
      2.285615E+03        2.155293E-14
      2.285634E+03        1.379563E-14
      2.285653E+03        7.184032E-15
      2.285672E+03        1.004547E-14
      2.28569E+03        1.296775E-14
      2.285709E+03        1.361108E-14
      2.285728E+03         1.45771E-14
      2.285747E+03        1.331035E-14
      2.285765E+03        1.244641E-14
      2.285784E+03         1.28184E-14
      2.285803E+03        1.192859E-14
      2.285822E+03        1.145077E-14
      2.28584E+03        1.177513E-14
      2.285859E+03          8.6212E-15
      2.285878E+03        6.004286E-15
      2.285896E+03        9.659865E-15
      2.285915E+03        1.290148E-14
      2.285934E+03        1.347006E-14
      2.285953E+03        1.359259E-14
      2.285971E+03        1.380334E-14
      2.28599E+03         1.45502E-14
      2.286009E+03        1.306228E-14
      2.286028E+03        1.099742E-14
      2.286046E+03         1.18706E-14
      2.286065E+03        1.326084E-14
      2.286084E+03        1.317913E-14
      2.286103E+03          1.1954E-14
      2.286121E+03        9.394097E-15
      2.28614E+03        8.827258E-15
      2.286159E+03        1.015708E-14
      2.286178E+03        1.069395E-14
      2.286196E+03        1.196357E-14
      2.286215E+03        1.164052E-14
      2.286234E+03        8.733196E-15
      2.286252E+03        7.071017E-15
      2.286271E+03        5.668942E-15
      2.28629E+03        5.028296E-15
      2.286309E+03        8.375072E-15
      2.286327E+03        1.095987E-14
      2.286346E+03        9.797838E-15
      2.286365E+03        8.396307E-15
      2.286384E+03        9.957824E-15
      2.286402E+03        1.282078E-14
      2.286421E+03        1.607407E-14
      2.28644E+03        1.833159E-14
      2.286458E+03         1.56307E-14
      2.286477E+03        1.223736E-14
      2.286496E+03        1.238748E-14
      2.286515E+03        1.336151E-14
      2.286533E+03        1.337815E-14
      2.286552E+03        1.330498E-14
      2.286571E+03        1.153375E-14
      2.28659E+03        9.569608E-15
      2.286608E+03        1.056654E-14
      2.286627E+03        1.242643E-14
      2.286646E+03        1.484254E-14
      2.286665E+03        1.639078E-14
      2.286683E+03        1.452079E-14
      2.286702E+03        1.264679E-14
      2.286721E+03        1.392901E-14
      2.286739E+03        1.546544E-14
      2.286758E+03        1.337414E-14
      2.286777E+03        1.186323E-14
      2.286796E+03        1.392631E-14
      2.286814E+03        1.458498E-14
      2.286833E+03        1.135721E-14
      2.286852E+03         8.61803E-15
      2.286871E+03        9.036104E-15
      2.286889E+03        1.003761E-14
      2.286908E+03        1.009356E-14
      2.286927E+03         9.29224E-15
      2.286945E+03        9.247553E-15
      2.286964E+03        1.002078E-14
      2.286983E+03        1.052028E-14
      2.287002E+03         1.12055E-14
      2.28702E+03        1.236707E-14
      2.287039E+03        1.151817E-14
      2.287058E+03         6.11808E-15
      2.287077E+03        3.070113E-15
      2.287095E+03        5.371826E-15
      2.287114E+03        5.888195E-15
      2.287133E+03        3.212347E-15
      2.287151E+03        2.224068E-15
      2.28717E+03        3.826515E-15
      2.287189E+03        4.805886E-15
      2.287208E+03        6.760328E-15
      2.287226E+03        9.016097E-15
      2.287245E+03        1.055488E-14
      2.287264E+03        1.109684E-14
      2.287283E+03        7.864455E-15
      2.287301E+03         5.76323E-15
      2.28732E+03        8.803058E-15
      2.287339E+03        1.084666E-14
      2.287357E+03        8.774956E-15
      2.287376E+03        7.186387E-15
      2.287395E+03        5.793636E-15
      2.287414E+03        5.471243E-15
      2.287432E+03        1.107107E-14
      2.287451E+03        1.424875E-14
      2.28747E+03        1.072042E-14
      2.287489E+03        8.665706E-15
      2.287507E+03        8.412492E-15
      2.287526E+03        9.011617E-15
      2.287545E+03        1.284597E-14
      2.287563E+03        1.474404E-14
      2.287582E+03         1.14872E-14
      2.287601E+03         9.75391E-15
      2.28762E+03        1.025595E-14
      2.287638E+03        1.002177E-14
      2.287657E+03        1.121138E-14
      2.287676E+03        1.255849E-14
      2.287694E+03        1.082642E-14
      2.287713E+03        8.861772E-15
      2.287732E+03        9.876401E-15
      2.287751E+03         1.07675E-14
      2.287769E+03        9.583685E-15
      2.287788E+03        1.006942E-14
      2.287807E+03        1.255012E-14
      2.287826E+03        1.325796E-14
      2.287844E+03        1.334684E-14
      2.287863E+03        1.382343E-14
      2.287882E+03        1.004969E-14
      2.2879E+03        5.685177E-15
      2.287919E+03        7.230089E-15
      2.287938E+03        1.015158E-14
      2.287957E+03        1.026957E-14
      2.287975E+03        8.730236E-15
      2.287994E+03        5.710097E-15
      2.288013E+03        3.465882E-15
      2.288032E+03        2.300724E-15
      2.28805E+03        6.779845E-16
      2.288069E+03       -6.572257E-16
      2.288088E+03       -5.645773E-16
      2.288106E+03        1.465042E-15
      2.288125E+03        2.720755E-15
      2.288144E+03        3.663173E-15
      2.288163E+03        4.651207E-15
      2.288181E+03        4.512073E-15
      2.2882E+03        4.863487E-15
      2.288219E+03        5.509452E-15
      2.288237E+03         5.12978E-15
      2.288256E+03         4.14057E-15
      2.288275E+03        3.417864E-15
      2.288294E+03        5.095523E-15
      2.288312E+03        7.170488E-15
      2.288331E+03        5.624125E-15
      2.28835E+03        4.593888E-15
      2.288368E+03        6.737666E-15
      2.288387E+03         8.14709E-15
      2.288406E+03        7.896987E-15
      2.288425E+03        6.068737E-15
      2.288443E+03        4.020107E-15
      2.288462E+03        5.399853E-15
      2.288481E+03        9.246793E-15
